Anecdote,Catégorie,Progression
La viande séchée a longtemps été utilisée par les marins lors de leurs voyages car elle se conservait plusieurs mois sans réfrigération.,Produit & Tradition,1
"Le bœuf séché était une denrée précieuse pour les peuples nomades : léger, nutritif, facile à transporter.",Produit & Tradition,1
"En Afrique du Sud, le biltong est l’équivalent du beef jerky américain, mais séché à l’air et aux épices locales.",Produit & Tradition,1
"La viande séchée contient en moyenne 50 % de protéines, soit deux fois plus que dans la viande fraîche.",Nutrition & Santé,2
Le zinc contenu dans la viande contribue au bon fonctionnement du système immunitaire.,Nutrition & Santé,2
"Les protéines végétales, comme celles du pois chiche ou du soja, peuvent aussi couvrir les besoins musculaires si elles sont bien combinées.",Nutrition & Santé,2
"Certains producteurs proposent aujourd’hui du ‘jerky’ à base de champignons, riche en fibres et naturellement parfumé.",Alternatives & Durabilité,3
"La spiruline, une micro-algue, est parfois surnommée ‘steak de la mer’ à cause de sa teneur en protéines.",Alternatives & Durabilité,3
"Les lentilles corail contiennent 25 % de protéines sèches, un chiffre proche de certaines viandes maigres.",Alternatives & Durabilité,3
"Dans Final Fantasy XV, Ignis cuisine aussi bien des recettes de viande que des plats végétariens comme des soupes de légumes.",Culture Geek & Vegan-friendly,4
"Dans Minecraft, on peut survivre uniquement avec du pain, des pommes et des carottes virtuelles.",Culture Geek & Vegan-friendly,4
Le premier restaurant vegan officiel ouvert à Disneyland Paris a vu le jour en 2022.,Culture Geek & Vegan-friendly,4
"Le tofu, originaire de Chine, existe depuis plus de 2 000 ans. Les moines bouddhistes l’utilisaient déjà comme source de protéines.",Fun & Curiosités,5
"Les Vikings séchaient aussi du poisson pour leurs expéditions. Aujourd’hui, certains chefs revisitent cette tradition en version végétale, avec des algues séchées.",Fun & Curiosités,5
La NASA a testé des menus végétariens pour les astronautes afin de réduire la masse transportée dans l’espace.,Fun & Curiosités,5
"Un sachet de 50 g de jerky apporte environ 25 g de protéines, soit l’équivalent de 4 œufs.",Défis & Anecdotes ludiques,6
"Un burger végétal moderne peut imiter le goût et la texture du bœuf, grâce à une molécule appelée l’hème végétal.",Défis & Anecdotes ludiques,6
Défi : saurais-tu citer 3 aliments riches en protéines… sans nommer la viande ?,Défis & Anecdotes ludiques,6
